"Boys Names in Ireland with 3 or More Occurrences (Number) by Name and"
"Year"

" ","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1989","1990","1991","1992","1993","1994","1995","1996","1997","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Jack",..,..,..,..,..,..,3,..,..,3,4,5,3,..,6,6,9,5,7,11,7,14,32,33,63,73,115,159,251,255,363,514,568,987,1073,1151,1068,935,840,831,764,786
"Sean",171,163,235,221,211,232,259,291,274,317,327,278,282,338,275,346,370,445,443,464,476,497,519,533,594,620,657,729,662,628,705,804,872,994,965,970,934,827,755,677,609,526
"Conor",97,107,138,129,150,133,162,219,171,210,199,231,210,232,224,259,299,319,315,309,337,356,370,444,437,460,591,641,576,712,841,811,867,731,821,857,776,726,709,639,610,581
"Daniel",395,344,337,304,324,298,330,288,257,285,268,304,309,316,322,350,373,431,395,455,462,547,557,495,575,623,610,594,564,518,609,684,607,636,725,828,842,792,711,683,678,638
"James",1554,1464,1443,1349,1275,1186,1130,1190,1128,1002,1059,1033,1010,927,945,1023,1087,1098,1034,993,955,944,982,940,854,785,866,781,747,859,766,667,757,678,713,737,711,746,796,773,746,695
"Adam",..,11,4,4,9,9,8,16,17,23,22,21,19,26,36,54,61,74,98,117,92,112,130,106,130,193,257,324,332,379,433,515,532,693,659,645,618,581,637,558,518,493
"Ryan",..,..,..,..,..,..,..,4,3,8,16,7,14,13,10,11,22,27,19,24,30,26,28,35,47,71,82,203,295,373,418,429,437,431,553,670,641,669,685,510,459,373
"Luke",26,24,18,18,20,20,22,27,29,28,32,28,35,29,35,47,53,51,61,46,65,56,80,101,124,138,156,194,253,286,366,395,400,536,538,516,501,519,487,457,403,437
"Cian",..,..,8,8,3,9,6,13,16,21,20,25,40,45,53,58,59,71,72,63,84,99,127,115,144,189,228,204,246,267,264,360,402,520,527,493,469,424,461,406,368,361
"Michael",2157,2057,2009,1958,1825,1753,1705,1745,1639,1600,1536,1389,1413,1349,1327,1332,1426,1320,1254,1174,1214,1078,1065,956,899,883,798,794,722,693,614,684,673,509,521,483,499,463,496,462,432,379
"Dylan",..,..,..,..,..,5,..,11,..,9,13,9,9,12,14,15,21,20,13,17,16,25,11,12,27,32,70,96,249,311,487,491,531,456,516,519,480,491,492,471,360,384
"Aaron",..,4,9,..,6,12,12,9,11,20,21,30,30,55,49,56,56,62,71,63,74,96,111,131,180,214,268,303,338,366,499,556,594,488,485,485,444,439,423,372,320,303
"Darragh",..,4,3,6,20,25,24,32,47,48,43,59,82,72,80,98,76,108,116,98,100,97,106,127,161,210,214,220,191,218,236,281,295,429,472,458,465,409,401,389,365,347
"Thomas",1349,1367,1265,1175,1119,1139,1095,1054,942,996,884,823,826,770,811,794,844,823,828,707,730,687,658,634,499,502,503,520,466,451,387,476,449,432,440,432,411,347,403,403,412,362
"Matthew",89,129,120,99,104,95,92,92,116,99,102,87,106,92,111,98,110,114,133,157,143,121,127,138,129,165,182,183,208,162,181,216,234,395,430,408,343,344,331,336,323,260
"David",936,1102,992,1125,1149,1127,1160,1269,1253,1262,1263,1360,1478,1571,1637,1695,1740,1633,1683,1631,1556,1464,1244,1282,1186,1108,1091,996,866,793,759,640,617,383,418,403,326,332,331,292,262,306
"Jamie",..,..,..,..,..,..,..,..,3,5,7,7,13,13,24,23,33,41,32,33,53,73,60,80,143,164,160,226,255,222,257,271,281,494,412,481,466,468,448,404,359,328
"Oisin",3,5,4,..,8,9,15,16,14,20,17,13,20,19,20,24,26,32,43,39,28,32,40,47,43,69,75,84,92,120,137,132,171,413,407,454,423,401,436,407,392,381
"Patrick",2235,2281,1960,1915,1850,1797,1674,1705,1523,1484,1443,1310,1264,1227,1166,1227,1218,1217,1107,1110,1074,938,926,870,739,711,631,671,621,560,543,507,553,392,402,433,399,387,390,388,369,358
"Alex",..,..,..,..,..,..,..,..,4,5,3,3,6,..,5,4,4,10,6,10,10,5,5,11,9,16,23,30,31,48,55,79,70,367,401,501,503,551,492,392,406,383
"John",3696,3360,3152,2981,2863,2811,2629,2654,2506,2431,2330,2088,2106,2086,2280,2707,2510,2071,1965,1710,1608,1437,1330,1250,1062,972,952,757,825,709,703,677,636,394,392,377,346,343,312,297,287,293
"Cillian",..,..,..,..,..,..,3,..,9,4,11,6,11,9,12,16,19,19,39,31,22,28,33,42,44,52,54,71,66,60,61,102,101,300,377,350,346,351,360,341,322,350
"Evan",..,..,..,..,..,3,5,8,12,9,15,14,18,18,22,17,24,10,23,27,26,35,29,34,42,54,84,95,104,131,184,222,197,364,360,317,333,314,298,278,214,224
"Eoin",42,59,68,69,69,77,78,113,109,143,149,145,136,157,211,289,346,312,342,334,314,333,329,347,318,340,324,348,318,338,334,362,381,356,354,311,368,299,251,228,194,179
"Shane",49,75,73,76,115,123,175,200,277,351,369,401,478,468,408,438,540,538,554,654,612,610,685,774,693,754,682,703,687,657,628,696,633,366,343,294,260,277,209,176,151,141
"Liam",111,103,110,120,122,118,147,127,154,169,182,142,172,175,177,187,231,197,192,187,189,175,187,175,167,178,187,182,155,172,170,237,297,295,339,437,457,412,412,427,365,378
"Ben",..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,7,4,..,5,7,13,11,17,20,25,23,47,41,47,54,54,94,130,385,336,349,324,305,294,232,253,252
"Jake",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..,3,4,15,27,41,44,56,74,87,106,116,297,320,286,248,297,247,265,295,263
"Joshua",..,..,..,..,..,..,..,..,..,..,4,3,..,..,..,..,4,4,..,3,7,8,3,15,24,27,42,51,52,86,94,123,139,341,311,302,260,259,249,210,198,203
