"Registered Births in Ireland (Number) by Name and Year"

" ","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Jack",543,743,846,930,868,800,835,931,987,1073,1151,1061,914,840,831,764,786,752
"James",472,629,594,613,581,626,688,699,678,713,737,705,733,796,773,746,695,697
"Daniel",428,479,467,475,559,617,630,654,636,725,828,832,784,711,683,678,638,617
"Conor",761,761,700,702,748,705,736,705,731,821,857,775,714,709,639,610,581,558
"Sean",662,760,816,867,866,897,928,893,994,965,970,927,812,755,677,609,526,530
"Adam",460,588,653,833,798,787,688,710,693,659,645,611,568,637,558,518,493,449
"Noah",0,9,7,18,26,33,83,123,158,163,181,210,313,333,390,418,434,438
"Michael",438,527,483,483,520,525,527,484,509,521,483,499,455,496,462,432,379,434
"Charlie",20,32,36,40,58,79,118,148,218,221,292,307,371,396,432,383,389,399
"Luke",327,410,488,517,489,474,544,544,536,538,516,495,509,487,457,403,437,382
"Thomas",306,332,351,377,349,375,371,397,432,440,432,408,341,403,403,412,362,379
"Oisin",174,249,287,283,300,342,384,370,413,407,454,420,384,436,407,392,381,365
"Alex",93,112,150,160,193,268,322,336,367,401,501,496,540,492,392,406,383,361
"Cian",362,420,557,557,536,501,546,561,520,527,493,467,417,461,406,368,361,358
"Harry",42,86,95,115,98,118,137,150,193,251,276,302,359,499,510,430,398,358
"Patrick",306,343,362,365,366,343,357,381,392,402,433,397,379,390,388,369,358,350
"Dylan",443,445,477,538,485,478,479,467,456,516,519,470,484,492,471,360,384,343
"Ryan",326,418,356,349,365,425,451,432,431,553,670,633,662,685,510,459,373,329
"Fionn",47,47,90,94,99,102,172,184,195,246,239,247,264,255,292,304,270,325
"Liam",197,290,257,267,290,316,310,297,295,339,437,453,405,412,427,365,378,324
"Darragh",211,237,245,298,310,356,414,377,429,472,458,462,403,401,389,365,347,302
"Cillian",92,98,111,114,99,116,176,167,300,377,350,344,347,360,341,322,350,299
"David",439,524,492,549,501,480,459,401,383,418,403,321,328,331,292,262,306,293
"Jamie",224,289,294,342,333,327,406,408,494,412,481,463,465,448,404,359,328,286
"Jake",110,125,161,224,227,236,206,276,297,320,286,245,290,247,265,295,263,285
"Aaron",449,500,401,459,467,411,503,488,488,485,485,439,435,423,372,320,303,281
"Matthew",281,259,275,287,351,304,361,379,395,430,408,341,337,331,336,323,260,279
"John",340,369,398,372,362,333,366,386,394,392,377,346,341,312,297,287,293,266
"Ben",137,196,234,258,345,348,399,401,385,336,349,321,304,294,232,253,252,265
"Finn",19,15,31,55,63,83,92,137,116,150,172,185,187,242,218,246,224,260
"Oliver",10,19,16,28,25,30,46,46,61,99,98,139,167,167,155,199,199,259
"Nathan",178,245,223,242,258,275,271,296,255,215,245,252,294,282,295,236,255,231
"Tadhg",38,49,55,64,68,73,100,112,122,170,192,205,216,232,224,166,177,230
"Kyle",96,99,139,126,190,200,216,210,202,210,223,213,225,242,252,228,222,217
"Evan",188,208,250,248,245,303,337,324,364,360,317,328,311,298,278,214,224,207
"Rian",28,20,35,44,40,36,59,75,86,139,144,150,158,213,243,208,215,200
"Tom",31,30,38,56,61,74,60,80,100,107,113,139,123,126,157,178,185,192
"Sam",46,57,54,63,88,93,132,134,128,138,155,201,205,196,183,166,195,190
"Mason",..,..,..,..,..,..,..,..,..,..,18,..,..,115,159,201,187,186
"Ethan",53,76,83,135,128,141,160,151,139,176,170,197,267,253,268,211,234,181
"Samuel",96,115,119,146,166,193,209,210,224,225,218,237,222,230,213,217,193,176
"Joseph",168,219,220,243,201,218,232,226,195,242,268,244,225,214,196,207,197,174
"Callum",43,71,86,76,110,138,130,216,368,239,224,297,288,245,215,181,214,173
"Max",14,20,32,40,37,56,67,92,98,116,165,163,181,194,232,213,201,173
"Oscar",20,25,17,33,42,45,54,80,68,89,132,131,131,135,..,184,179,170
"Alexander",66,88,81,102,119,136,132,152,134,145,185,177,174,183,161,202,211,169
"Eoin",295,347,368,349,361,356,429,370,356,354,311,367,294,251,228,194,179,162
